domain,fqcn,member,kind,signature_or_value,notes
other,ic2.api.blocks.IPaintable,recolor,method,"boolean recolor(BlockState state, Level world, BlockPos pos, Vec3 exactClick, Direction dir, DyeColor color);",DECLARED (fallback)
other,ic2.api.blocks.IPaintable,getColor,method,DyeColor getColor(BlockState state);,DECLARED (fallback)
other,ic2.api.blocks.wrench.BaseWrenchHandler,doSpecialAction,method,"boolean doSpecialAction(BlockState state, Level world, BlockPos pos, Direction dir, Player player, Vec3 hit)",DECLARED
other,ic2.api.blocks.wrench.BaseWrenchHandler,hasSpecialAction,method,"AABB hasSpecialAction(BlockState state, Level world, BlockPos pos, Direction dir, Player player, Vec3 hit)",DECLARED
other,ic2.api.blocks.wrench.BaseWrenchHandler,canRemoveBlock,method,"boolean canRemoveBlock(BlockState state, Level world, BlockPos pos, Player player)",DECLARED
other,ic2.api.blocks.wrench.BaseWrenchHandler,getDropRate,method,"double getDropRate(BlockState state, Level world, BlockPos pos, Player player)",DECLARED
other,ic2.api.blocks.wrench.BaseWrenchHandler,getDrops,method,"List<ItemStack> getDrops(BlockState state, Level world, BlockPos pos, Player player)",DECLARED
other,ic2.api.blocks.wrench.ChestWrenchHandler,INSTANCE,field,IWrenchable INSTANCE,unknown
other,ic2.api.blocks.wrench.ChestWrenchHandler,canSetFacing,method,"boolean canSetFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.DispenserWrenchHandler,INSTANCE,field,IWrenchable INSTANCE,unknown
other,ic2.api.blocks.wrench.DispenserWrenchHandler,getFacing,method,"Direction getFacing(BlockState state, Level world, BlockPos pos)",DECLARED
other,ic2.api.blocks.wrench.DispenserWrenchHandler,canSetFacing,method,"boolean canSetFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.DispenserWrenchHandler,setFacing,method,"boolean setFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.HopperWrenchHandler,INSTANCE,field,IWrenchable INSTANCE,unknown
other,ic2.api.blocks.wrench.HopperWrenchHandler,getFacing,method,"Direction getFacing(BlockState state, Level world, BlockPos pos)",DECLARED
other,ic2.api.blocks.wrench.HopperWrenchHandler,canSetFacing,method,"boolean canSetFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.HopperWrenchHandler,setFacing,method,"boolean setFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.HorizontalWrenchHandler,INSTANCE,field,IWrenchable INSTANCE,unknown
other,ic2.api.blocks.wrench.HorizontalWrenchHandler,getFacing,method,"Direction getFacing(BlockState state, Level world, BlockPos pos)",DECLARED
other,ic2.api.blocks.wrench.HorizontalWrenchHandler,canSetFacing,method,"boolean canSetFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.HorizontalWrenchHandler,setFacing,method,"boolean setFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.InvertedHorizontalWrenchHandler,INSTANCE,field,IWrenchable INSTANCE,unknown
other,ic2.api.blocks.wrench.InvertedHorizontalWrenchHandler,getFacing,method,"Direction getFacing(BlockState state, Level world, BlockPos pos)",DECLARED
other,ic2.api.blocks.wrench.InvertedHorizontalWrenchHandler,canSetFacing,method,"boolean canSetFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.InvertedHorizontalWrenchHandler,setFacing,method,"boolean setFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.ObserverBlockWrenchHandler,INSTANCE,field,IWrenchable INSTANCE,unknown
other,ic2.api.blocks.wrench.ObserverBlockWrenchHandler,getFacing,method,"Direction getFacing(BlockState state, Level world, BlockPos pos)",DECLARED
other,ic2.api.blocks.wrench.ObserverBlockWrenchHandler,canSetFacing,method,"boolean canSetFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.ObserverBlockWrenchHandler,setFacing,method,"boolean setFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.PillarWrenchHandler,INSTANCE,field,IWrenchable INSTANCE,unknown
other,ic2.api.blocks.wrench.PillarWrenchHandler,getFacing,method,"Direction getFacing(BlockState state, Level world, BlockPos pos)",DECLARED
other,ic2.api.blocks.wrench.PillarWrenchHandler,canSetFacing,method,"boolean canSetFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.PillarWrenchHandler,setFacing,method,"boolean setFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.PistonWrenchHandler,INSTANCE,field,IWrenchable INSTANCE,unknown
other,ic2.api.blocks.wrench.PistonWrenchHandler,getFacing,method,"Direction getFacing(BlockState state, Level world, BlockPos pos)",DECLARED
other,ic2.api.blocks.wrench.PistonWrenchHandler,canSetFacing,method,"boolean canSetFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.PistonWrenchHandler,setFacing,method,"boolean setFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.PistonWrenchHandler,canRemoveBlock,method,"boolean canRemoveBlock(BlockState state, Level world, BlockPos pos, Player player)",DECLARED
other,ic2.api.blocks.wrench.PistonWrenchHandler,getDropRate,method,"double getDropRate(BlockState state, Level world, BlockPos pos, Player player)",DECLARED
other,ic2.api.blocks.wrench.StairWrenchHandler,INSTANCE,field,IWrenchable INSTANCE,unknown
other,ic2.api.blocks.wrench.StairWrenchHandler,getFacing,method,"Direction getFacing(BlockState state, Level world, BlockPos pos)",DECLARED
other,ic2.api.blocks.wrench.StairWrenchHandler,canSetFacing,method,"boolean canSetFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.blocks.wrench.StairWrenchHandler,setFacing,method,"boolean setFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side)",DECLARED
other,ic2.api.core.APIHelper,getFluidContainers,method,List<ItemStack> getFluidContainers(Fluid fluid),DECLARED
other,ic2.api.core.APIHelper,createSteam,method,FluidStack createSteam(int amount),DECLARED
other,ic2.api.core.APIHelper,getTickHelper,method,ITickScheduler getTickHelper(),DECLARED
other,ic2.api.core.APIHelper,getNetworkManager,method,INetworkManager getNetworkManager(),DECLARED
other,ic2.api.core.APIHelper,getNetworkManager,method,INetworkManager getNetworkManager(Dist side),DECLARED
other,ic2.api.core.IC2Classic,TUBE_CAPABILITY,field,Capability<ITube> TUBE_CAPABILITY,get()
other,ic2.api.core.IC2Classic,NOTIFY_CAPABILITY,field,Capability<INotifiableMachine> NOTIFY_CAPABILITY,get()
other,ic2.api.core.IC2Classic,ARMOR_CAPABILITY,field,Capability<IArmorCapability> ARMOR_CAPABILITY,get()
other,ic2.api.core.IC2Classic,getHelper,method,APIHelper getHelper(),DECLARED
other,ic2.api.core.IC2Classic,setHelper,method,void setHelper(APIHelper helper),DECLARED
other,ic2.api.crops.BaseSeed,crop,field,ICrop crop,unknown
other,ic2.api.crops.BaseSeed,stage,field,int stage,unknown
other,ic2.api.crops.BaseSeed,growth,field,int growth,unknown
other,ic2.api.crops.BaseSeed,gain,field,int gain,unknown
other,ic2.api.crops.BaseSeed,resistance,field,int resistance,unknown
other,ic2.api.crops.BaseSeed,stack_size,field,int stack_size,unknown
other,ic2.api.crops.CropDifficulty,getWeedChance,method,int getWeedChance(),DECLARED
other,ic2.api.crops.CropDifficulty,getCropGrowth,method,int getCropGrowth(int value),DECLARED
other,ic2.api.crops.CropDifficulty,getBreedingDifficulty,method,int getBreedingDifficulty(),DECLARED
other,ic2.api.crops.CropDifficulty,getCropStats,method,"int[] getCropStats(List<ICropTile> crops, RandomSource rand)",DECLARED
other,ic2.api.crops.CropProperties,getTier,method,int getTier(),DECLARED
other,ic2.api.crops.CropProperties,getChemistry,method,int getChemistry(),DECLARED
other,ic2.api.crops.CropProperties,getConsumable,method,int getConsumable(),DECLARED
other,ic2.api.crops.CropProperties,getDefensive,method,int getDefensive(),DECLARED
other,ic2.api.crops.CropProperties,getColorful,method,int getColorful(),DECLARED
other,ic2.api.crops.CropProperties,getWeed,method,int getWeed(),DECLARED
other,ic2.api.crops.CropProperties,getAllProperties,method,int[] getAllProperties(),DECLARED
other,ic2.api.crops.ICrop,UNKNOWN,field,Component UNKNOWN,translatable()
other,ic2.api.crops.ICrop,EMPTY_DROPS,field,ItemStack[] EMPTY_DROPS,unknown
other,ic2.api.crops.ICrop,id,method,ResourceLocation id(),DECLARED
other,ic2.api.crops.ICrop,discoveredBy,method,Component discoveredBy(),DECLARED
other,ic2.api.crops.ICrop,getName,method,Component getName(),DECLARED
other,ic2.api.crops.ICrop,getDisplayItem,method,ItemStack getDisplayItem(),DECLARED
other,ic2.api.crops.ICrop,getProperties,method,CropProperties getProperties(),DECLARED
other,ic2.api.crops.ICrop,getCropType,method,CropType getCropType(),DECLARED
other,ic2.api.crops.ICrop,isWaterCleaningCrop,method,boolean isWaterCleaningCrop(ICropTile tile),DECLARED
other,ic2.api.crops.ICrop,getAttributes,method,String[] getAttributes(),DECLARED
other,ic2.api.crops.ICrop,getTextures,method,List<ResourceLocation> getTextures(),DECLARED
other,ic2.api.crops.ICrop,getGrowthSteps,method,int getGrowthSteps(),DECLARED
other,ic2.api.crops.ICrop,getOptimalHarvestStep,method,int getOptimalHarvestStep(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,getGrowthDuration,method,int getGrowthDuration(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,getStatInfluence,method,"int getStatInfluence(ICropTile cropTile, int humidity, int nutrients, int air)",DECLARED
other,ic2.api.crops.ICrop,canGrow,method,boolean canGrow(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,canBeHarvested,method,boolean canBeHarvested(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,getAfterHarvestStage,method,int getAfterHarvestStage(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,getDropChance,method,double getDropChance(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,getDrops,method,ItemStack[] getDrops(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,getSeedDropChance,method,float getSeedDropChance(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,getSeeds,method,ItemStack getSeeds(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,canBreed,method,boolean canBreed(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,isWeed,method,boolean isWeed(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,onRightClick,method,"boolean onRightClick(ICropTile cropTile, Player player, InteractionHand hand)",DECLARED
other,ic2.api.crops.ICrop,onLeftClick,method,"boolean onLeftClick(ICropTile cropTile, Player player)",DECLARED
other,ic2.api.crops.ICrop,onTick,method,void onTick(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,onBlockUpdate,method,void onBlockUpdate(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,onEntityCollision,method,"void onEntityCollision(ICropTile cropTile, Entity entity)",DECLARED
other,ic2.api.crops.ICrop,onCropPlaceFailed,method,"void onCropPlaceFailed(BaseSeed seed, ICropTile cropTile, Player player)",DECLARED
other,ic2.api.crops.ICrop,hasCustomCropPlaceFailedMessage,method,boolean hasCustomCropPlaceFailedMessage(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,getCustomCropPlaceFailedMessage,method,Component getCustomCropPlaceFailedMessage(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,canEmitRedstone,method,boolean canEmitRedstone(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,getRedstoneLevel,method,int getRedstoneLevel(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,getEmittedLight,method,int getEmittedLight(ICropTile cropTile),DECLARED
other,ic2.api.crops.ICrop,desc,method,String desc(int i),DECLARED
other,ic2.api.crops.ICrop,getGrowth,method,int getGrowth(int combo),DECLARED
other,ic2.api.crops.ICrop,getGain,method,int getGain(int combo),DECLARED
other,ic2.api.crops.ICrop,getResistance,method,int getResistance(int combo),DECLARED
other,ic2.api.crops.ICrop,combineStats,method,"short combineStats(int growth, int gain, int resistance)",DECLARED
other,ic2.api.crops.ICropModifier,canChangeSeedMode,method,boolean canChangeSeedMode(ItemStack input),DECLARED
other,ic2.api.crops.ICropModifier,canToggleSeedMode,method,boolean canToggleSeedMode(ItemStack stack),DECLARED
other,ic2.api.crops.ICropRegistry,WEED,field,ICrop WEED,null
other,ic2.api.crops.ICropRegistry,SEA_WEED,field,ICrop SEA_WEED,null
other,ic2.api.crops.ICropRegistry,INSTANCE,field,ICropRegistry INSTANCE,unknown
other,ic2.api.crops.ICropRegistry,registerCustomCropRenderer,method,"void registerCustomCropRenderer(ResourceLocation location, ICropRenderer render)",DECLARED
other,ic2.api.crops.ICropRegistry,registerCustomStickRenderer,method,void registerCustomStickRenderer(ICropRenderer render),DECLARED
other,ic2.api.crops.ICropRegistry,registerCrop,method,T registerCrop(T crop),DECLARED
other,ic2.api.crops.ICropRegistry,getCrop,method,"ICrop getCrop(String id, String name)",DECLARED
other,ic2.api.crops.ICropRegistry,getCrop,method,ICrop getCrop(ResourceLocation location),DECLARED
other,ic2.api.crops.ICropRegistry,getRandomCrop,method,ICrop getRandomCrop(OptionalLong seed),DECLARED
other,ic2.api.crops.ICropRegistry,getCrop,method,ICrop getCrop(ItemStack stack),DECLARED
other,ic2.api.crops.ICropRegistry,getCrops,method,List<ICrop> getCrops(),DECLARED
other,ic2.api.crops.ICropRegistry,registerDisplayItem,method,"void registerDisplayItem(ResourceLocation cropID, ItemStack stack)",DECLARED
other,ic2.api.crops.ICropRegistry,getDisplayItem,method,ItemStack getDisplayItem(ResourceLocation cropID),DECLARED
other,ic2.api.crops.ICropRegistry,registerBaseSeed,method,"void registerBaseSeed(Item item, BaseSeed seed)",DECLARED
other,ic2.api.crops.ICropRegistry,getSeedForStack,method,BaseSeed getSeedForStack(ItemStack stack),DECLARED
other,ic2.api.crops.ICropRegistry,getSeedForCrop,method,ItemStack getSeedForCrop(ICrop crop),DECLARED
other,ic2.api.crops.ICropRegistry,addBiomeHumidityBonus,method,"void addBiomeHumidityBonus(TagKey<Biome> type, int bonus)",DECLARED
other,ic2.api.crops.ICropRegistry,getHumidityBonus,method,int getHumidityBonus(Holder<Biome> biome),DECLARED
other,ic2.api.crops.ICropRegistry,addBiomeNutrientBonus,method,"void addBiomeNutrientBonus(TagKey<Biome> type, int bonus)",DECLARED
other,ic2.api.crops.ICropRegistry,getNutrientBonus,method,int getNutrientBonus(Holder<Biome> biome),DECLARED
other,ic2.api.crops.ICropRegistry,addBiomeWaterQualityBonus,method,"void addBiomeWaterQualityBonus(TagKey<Biome> type, int bonus)",DECLARED
other,ic2.api.crops.ICropRegistry,getWaterQualityBonus,method,int getWaterQualityBonus(Holder<Biome> biome),DECLARED
other,ic2.api.crops.ICropRegistry,registerFarmland,method,"void registerFarmland(IFarmland land, Block... blocks)",DECLARED
other,ic2.api.crops.ICropRegistry,getFarmland,method,IFarmland getFarmland(Block block),DECLARED
other,ic2.api.crops.ICropRegistry,registerSubSoil,method,"void registerSubSoil(ISubSoil soil, Block... blocks)",DECLARED
other,ic2.api.crops.ICropRegistry,getSubSoil,method,ISubSoil getSubSoil(Block block),DECLARED
other,ic2.api.crops.ICropRenderer,createQuadsForStage,method,"List<BakedQuad> createQuadsForStage(int stage, boolean fancy, FaceBakery baker)",DECLARED
other,ic2.api.crops.ICropSeed,SCAN_COST,field,int[] SCAN_COST,unknown
other,ic2.api.crops.ICropSeed,TIERS,field,String[] TIERS,unknown
other,ic2.api.crops.ICropSeed,getCrop,method,ICrop getCrop(ItemStack stack),DECLARED
other,ic2.api.crops.ICropSeed,getScanLevel,method,int getScanLevel(ItemStack stack),DECLARED
other,ic2.api.crops.ICropSeed,setScanLevel,method,"void setScanLevel(ItemStack stack, int level)",DECLARED
other,ic2.api.crops.ICropSeed,increaseScanLevel,method,void increaseScanLevel(ItemStack stack),DECLARED
other,ic2.api.crops.ICropSeed,getGrowth,method,int getGrowth(ItemStack stack),DECLARED
other,ic2.api.crops.ICropSeed,setGrowth,method,"void setGrowth(ItemStack stack, int growth)",DECLARED
other,ic2.api.crops.ICropSeed,getGain,method,int getGain(ItemStack stack),DECLARED
other,ic2.api.crops.ICropSeed,setGain,method,"void setGain(ItemStack stack, int gain)",DECLARED
other,ic2.api.crops.ICropSeed,getResistance,method,int getResistance(ItemStack stack),DECLARED
other,ic2.api.crops.ICropSeed,setResistance,method,"void setResistance(ItemStack stack, int resistance)",DECLARED
other,ic2.api.crops.ICropTile,getFarmland,method,IFarmland getFarmland(),DECLARED
other,ic2.api.crops.ICropTile,isWaterLogged,method,boolean isWaterLogged(),DECLARED
other,ic2.api.crops.ICropTile,setWaterlogged,method,void setWaterlogged(boolean water),DECLARED
other,ic2.api.crops.ICropTile,getCrop,method,ICrop getCrop(),DECLARED
other,ic2.api.crops.ICropTile,setCrop,method,void setCrop(ICrop crop),DECLARED
other,ic2.api.crops.ICropTile,getGrowthStage,method,int getGrowthStage(),DECLARED
other,ic2.api.crops.ICropTile,setGrowthStage,method,void setGrowthStage(int stage),DECLARED
other,ic2.api.crops.ICropTile,getGrowthPoints,method,int getGrowthPoints(),DECLARED
other,ic2.api.crops.ICropTile,setGrowthPoints,method,void setGrowthPoints(int points),DECLARED
other,ic2.api.crops.ICropTile,getScanLevel,method,int getScanLevel(),DECLARED
other,ic2.api.crops.ICropTile,setScanLevel,method,void setScanLevel(int level),DECLARED
other,ic2.api.crops.ICropTile,isCrossBreeding,method,boolean isCrossBreeding(),DECLARED
other,ic2.api.crops.ICropTile,setCrossBreeding,method,void setCrossBreeding(boolean breed),DECLARED
other,ic2.api.crops.ICropTile,getGainStat,method,int getGainStat(),DECLARED
other,ic2.api.crops.ICropTile,setGainStat,method,void setGainStat(int level),DECLARED
other,ic2.api.crops.ICropTile,getGrowthStat,method,int getGrowthStat(),DECLARED
other,ic2.api.crops.ICropTile,setGrowthStat,method,void setGrowthStat(int level),DECLARED
other,ic2.api.crops.ICropTile,getResistanceStat,method,int getResistanceStat(),DECLARED
other,ic2.api.crops.ICropTile,setResistanceStat,method,void setResistanceStat(int level),DECLARED
other,ic2.api.crops.ICropTile,canBreed,method,boolean canBreed(),DECLARED
other,ic2.api.crops.ICropTile,requestStateUpdate,method,void requestStateUpdate(),DECLARED
other,ic2.api.crops.ICropTile,onCustomDataChanged,method,void onCustomDataChanged(),DECLARED
other,ic2.api.crops.ICropTile,calculateGrowthSpeed,method,int calculateGrowthSpeed(),DECLARED
other,ic2.api.crops.ICropTile,performManualHarvest,method,boolean performManualHarvest(),DECLARED
other,ic2.api.crops.ICropTile,performHarvest,method,List<ItemStack> performHarvest(boolean manual),DECLARED
other,ic2.api.crops.ICropTile,pickCrop,method,boolean pickCrop(),DECLARED
other,ic2.api.crops.ICropTile,removeCrop,method,void removeCrop(),DECLARED
other,ic2.api.crops.ICropTile,isBlockBelow,method,boolean isBlockBelow(BlockState state),DECLARED
other,ic2.api.crops.ICropTile,isBlockBelow,method,boolean isBlockBelow(Block block),DECLARED
other,ic2.api.crops.ICropTile,isBlockBelow,method,boolean isBlockBelow(TagKey<Block> tag),DECLARED
other,ic2.api.crops.ICropTile,getBlocksBelow,method,Set<Block> getBlocksBelow(),DECLARED
other,ic2.api.crops.ICropTile,getCustomData,method,CompoundTag getCustomData(),DECLARED
other,ic2.api.crops.ICropTile,getLightLevel,method,int getLightLevel(),DECLARED
other,ic2.api.crops.ICropTile,getEnvironmentQuality,method,int getEnvironmentQuality(),DECLARED
other,ic2.api.crops.ICropTile,getNutrients,method,int getNutrients(),DECLARED
other,ic2.api.crops.ICropTile,getHumidity,method,int getHumidity(),DECLARED
other,ic2.api.crops.ICropTile,getWaterStorage,method,int getWaterStorage(),DECLARED
other,ic2.api.crops.ICropTile,setWaterStorage,method,void setWaterStorage(int water),DECLARED
other,ic2.api.crops.ICropTile,getFertilizerStorage,method,int getFertilizerStorage(),DECLARED
other,ic2.api.crops.ICropTile,setFertilizerStorage,method,void setFertilizerStorage(int fertilizer),DECLARED
other,ic2.api.crops.ICropTile,getWeedExStorage,method,int getWeedExStorage(),DECLARED
other,ic2.api.crops.ICropTile,setWeedExStorage,method,void setWeedExStorage(int weedEx),DECLARED
other,ic2.api.crops.ICropTile,createSeeds,method,"ItemStack createSeeds(ICrop crop, int growthStat, int gainStat, int resistanceStat, int scanLevel)",DECLARED
other,ic2.api.crops.IFarmland,getHumidity,method,"int getHumidity(Level world, BlockPos pos)",DECLARED
other,ic2.api.crops.IFarmland,getHumidity,method,int getHumidity(BlockState state),DECLARED
other,ic2.api.crops.IFarmland,getNutrients,method,"int getNutrients(Level world, BlockPos pos)",DECLARED
other,ic2.api.crops.IFarmland,getNutrients,method,int getNutrients(BlockState state),DECLARED
other,ic2.api.crops.IFarmland,isSpecial,method,boolean isSpecial(),DECLARED
other,ic2.api.crops.IFarmland,getSpecialState,method,BlockState getSpecialState(Block block),DECLARED
other,ic2.api.crops.ISeedCrop,isDroppingSeeds,method,boolean isDroppingSeeds(ICropTile tile),DECLARED
other,ic2.api.crops.ISeedCrop,getSeedDrops,method,ItemStack[] getSeedDrops(ICropTile tile),DECLARED
other,ic2.api.crops.ISubSoil,getHumidity,method,"int getHumidity(Level world, BlockPos pos)",DECLARED
other,ic2.api.crops.ISubSoil,getHumidity,method,int getHumidity(BlockState state),DECLARED
other,ic2.api.crops.ISubSoil,getNutrients,method,"int getNutrients(Level world, BlockPos pos)",DECLARED
other,ic2.api.crops.ISubSoil,getNutrients,method,int getNutrients(BlockState state),DECLARED
other,ic2.api.crops.ISubSoil,isSpecial,method,boolean isSpecial(),DECLARED
other,ic2.api.crops.ISubSoil,getSpecialState,method,BlockState getSpecialState(Block block),DECLARED
energy,ic2.api.energy.EnergyNet,INSTANCE,field,IEnergyNet INSTANCE,unknown
energy,ic2.api.energy.IEnergyNet,getTile,method,"IEnergyTile getTile(Level world, BlockPos pos)",DECLARED
energy,ic2.api.energy.IEnergyNet,getSubTile,method,"IEnergyTile getSubTile(Level world, BlockPos pos)",DECLARED
energy,ic2.api.energy.IEnergyNet,getTiles,method,"GridTile getTiles(Level world, BlockPos pos)",DECLARED
energy,ic2.api.energy.IEnergyNet,addTile,method,void addTile(IEnergyTile tile),DECLARED
energy,ic2.api.energy.IEnergyNet,removeTile,method,void removeTile(IEnergyTile tile),DECLARED
energy,ic2.api.energy.IEnergyNet,updateTile,method,void updateTile(IEnergyTile tile),DECLARED
energy,ic2.api.energy.IEnergyNet,getPowerFromTier,method,int getPowerFromTier(int tier),DECLARED
energy,ic2.api.energy.IEnergyNet,getTierFromPower,method,int getTierFromPower(int power),DECLARED
energy,ic2.api.energy.IEnergyNet,getDisplayTier,method,String getDisplayTier(int tier),DECLARED
energy,ic2.api.energy.IEnergyNet,getStats,method,TransferStats getStats(IEnergyTile tile),DECLARED
energy,ic2.api.energy.IEnergyNet,getPacketStats,method,List<PacketStats> getPacketStats(IEnergyTile tile),DECLARED
energy,ic2.api.energy.PacketStats,getTile,method,IEnergyTile getTile(),DECLARED
energy,ic2.api.energy.PacketStats,getPackets,method,long getPackets(),DECLARED
energy,ic2.api.energy.PacketStats,getPower,method,long getPower(),DECLARED
energy,ic2.api.energy.PacketStats,isAccepting,method,boolean isAccepting(),DECLARED
energy,ic2.api.energy.TransferStats,getEnergyIn,method,long getEnergyIn(),DECLARED
energy,ic2.api.energy.TransferStats,getEnergyOut,method,long getEnergyOut(),DECLARED
energy,ic2.api.energy.TransferStats,getEnergyLossIn,method,long getEnergyLossIn(),DECLARED
